word,colour,corr_resp,valence,key_resp.keys,key_resp.corr,key_resp.rt
carpet,green,g,neutral,g,1,1.5792108
suffering,green,g,negative,g,1,0.5251401
excitement,green,g,positive,g,1,0.4008665
computer,blue,b,neutral,b,1,0.5172369
chair,red,r,neutral,r,1,0.5915838
anxiety,red,r,negative,r,1,0.5803935
hatred,red,r,negative,r,1,0.4563654
anger,green,g,negative,g,1,0.6397429
book,red,r,neutral,r,1,0.7137977
pleasure,blue,b,positive,b,1,0.5519911
bliss,blue,b,positive,b,1,0.416322
enthusiasm ,red,r,positive,r,1,0.5141203
hope,red,r,positive,r,1,0.367715
door,red,r,neutral,r,1,0.3565819
trauma,red,r,negative,r,1,0.2871348
anger,red,r,negative,r,1,0.2941322
hatred,blue,b,negative,g,0,0.4969634
anger,blue,b,negative,b,1,0.6652175
pencil,blue,b,neutral,b,1,0.3088925
euphoria,green,g,positive,g,1,0.5449456
adore,blue,b,positive,b,1,0.5685489
pen,blue,b,neutral,b,1,0.7896399
lonliness,green,g,negative,g,1,0.5794762
love,red,r,positive,r,1,0.4567697
suffering,blue,b,negative,g,0,0.5373673
guilt,red,r,negative,r,1,0.6009835
sadness,red,r,negative,r,1,0.4870308
keyboard,red,r,neutral,r,1,0.349317
love,green,g,positive,g,1,0.7685699
disgust,green,g,negative,g,1,0.4534034
happiness,blue,b,positive,b,1,0.4063192
bliss,green,g,positive,g,1,0.6016162
gratitude,green,g,positive,g,1,0.4644346
window,green,g,neutral,g,1,0.395448
book,green,g,neutral,g,1,0.3671254
monitor,red,r,neutral,r,1,0.4524066
peace,green,g,positive,g,1,0.5640199
paper,blue,b,neutral,b,1,0.4622845
love,blue,b,positive,b,1,0.4191935
window,red,r,neutral,r,1,0.525434
lamp,red,r,neutral,r,1,0.4291355
lamp,blue,b,neutral,g,0,0.4190263
gratitude,red,r,positive,r,1,0.5131724
excitement,blue,b,positive,r,0,0.3827501
pain,red,r,negative,r,1,0.5056731
monitor,green,g,neutral,g,1,0.5807714
depression,blue,b,negative,b,1,0.4804617
grief,blue,b,negative,b,1,0.4575682
table,blue,b,neutral,b,1,0.4027114
grief,green,g,negative,g,1,0.5020769
trauma,green,g,negative,g,1,0.537428
fear,green,g,negative,g,1,0.5152409
door,blue,b,neutral,r,0,0.4318979
disgust,blue,b,negative,b,1,0.6621416
trauma,blue,b,negative,b,1,0.3519787
lamp,green,g,neutral,r,0,0.4931983
sadness,blue,b,negative,b,1,0.8153496
stress,green,g,negative,g,1,0.63473
laughter,red,r,positive,r,1,0.542381
lonliness,red,r,negative,r,1,0.3827624
pain,green,g,negative,g,1,0.6604692
guilt,blue,b,negative,b,1,0.3778636
adore,red,r,positive,r,1,0.43868
carpet,blue,b,neutral,b,1,0.8560009
depression,red,r,negative,r,1,0.640459
enthusiasm ,blue,b,positive,b,1,0.7189041
window,blue,b,neutral,b,1,0.4241882
pencil,red,r,neutral,r,1,0.5657102
computer,green,g,neutral,g,1,0.5401142
guilt,green,g,negative,g,1,0.472928
happiness,green,g,positive,g,1,0.415402
delight,blue,b,positive,b,1,0.5460701
enthusiasm ,green,g,positive,g,1,0.5488465
excitement,red,r,positive,r,1,0.5105862
clock,blue,b,neutral,b,1,0.6799585
bliss,red,r,positive,r,1,0.5844983
laughter,blue,b,positive,b,1,0.5194232
pleasure,green,g,positive,g,1,0.5178431
lonliness,blue,b,negative,b,1,0.6494637
gratitude,blue,b,positive,b,1,0.4380912
betrayal,blue,b,negative,b,1,0.3611748
anxiety,blue,b,negative,b,1,0.3409055
fear,blue,b,negative,b,1,0.3565506
pleasure,red,r,positive,r,1,0.542517
monitor,blue,b,neutral,b,1,0.884812
chair,blue,b,neutral,b,1,0.4641619
paper,green,g,neutral,g,1,0.4170221
delight,green,g,positive,g,1,0.3877919
computer,red,r,neutral,r,1,0.5798983
grief,red,r,negative,r,1,0.4189607
amusement,blue,b,positive,g,0,0.4840595
pen,green,g,neutral,g,1,0.908706
keyboard,blue,b,neutral,b,1,0.4930768
anxiety,green,g,negative,g,1,0.7848332
pen,red,r,neutral,r,1,0.5851405
clock,red,r,neutral,r,1,0.5702164
joy,green,g,positive,g,1,1.032747
keyboard,green,g,neutral,g,1,0.5234843
pencil,green,g,neutral,g,1,0.3795277
hope,green,g,positive,g,1,0.3455812
hatred,green,g,negative,g,1,0.3325906
delight,red,r,positive,r,1,0.5100542
table,red,r,neutral,r,1,0.4731849
disgust,red,r,negative,r,1,0.3606159
betrayal,red,r,negative,r,1,0.3466808
carpet,red,r,neutral,r,1,0.3815124
depression,green,g,negative,g,1,0.5666132
stress,blue,b,negative,b,1,0.4625365
peace,blue,b,positive,b,1,0.3803686
regret,green,g,negative,g,1,0.4967592
euphoria,blue,b,positive,b,1,0.4662078
suffering,red,r,negative,r,1,0.5108966
adore,green,g,positive,g,1,0.5676447
laughter,green,g,positive,g,1,0.3779626
book,blue,b,neutral,b,1,0.4120443
joy,red,r,positive,r,1,0.4425484
regret,blue,b,negative,g,0,0.4890371
amusement,red,r,positive,g,0,0.4805734
joy,blue,b,positive,b,1,0.8573775
door,green,g,neutral,g,1,0.5827783
fear,red,r,negative,r,1,0.4518814
clock,green,g,neutral,g,1,0.8413033
amusement,green,g,positive,g,1,0.4882652
hope,blue,b,positive,b,1,0.8316958
table,green,g,neutral,g,1,0.5572803
regret,red,r,negative,r,1,0.6289311
happiness,red,r,positive,r,1,0.6639532
betrayal,green,g,negative,g,1,0.8872924
stress,red,r,negative,r,1,0.7335156
paper,red,r,neutral,r,1,1.0475586
sadness,green,g,negative,g,1,1.1964851
euphoria,red,r,positive,r,1,0.6056561
peace,red,r,positive,r,1,0.4321591
pain,blue,b,negative,b,1,0.6153592
chair,green,g,neutral,g,1,0.6028042
