word,colour,corr_resp,valence,key_resp.keys,key_resp.corr,key_resp.rt
gratitude,blue,b,positive,b,1,0.8549036
laughter,blue,b,positive,b,1,0.5329849
depression,blue,b,negative,b,1,0.4851389
hope,red,r,positive,r,1,0.7358167
disgust,blue,b,negative,b,1,0.6046225
euphoria,red,r,positive,r,1,0.7771595
gratitude,green,g,positive,g,1,0.6174969
anger,green,g,negative,g,1,0.4233046
door,blue,b,neutral,b,1,0.6618564
enthusiasm ,blue,b,positive,b,1,0.5038668
sadness,red,r,negative,r,1,0.5756161
table,green,g,neutral,g,1,1.0505354
adore,blue,b,positive,b,1,0.6495459
adore,green,g,positive,g,1,1.1124635
monitor,green,g,neutral,g,1,0.4562669
peace,green,g,positive,g,1,0.4608061
computer,red,r,neutral,r,1,0.8135834
carpet,blue,b,neutral,b,1,0.5391237
door,green,g,neutral,r,0,0.6670546
gratitude,red,r,positive,r,1,1.0024494
stress,blue,b,negative,b,1,0.5819252
pencil,blue,b,neutral,b,1,0.4616577
anxiety,red,r,negative,r,1,0.8803976
table,blue,b,neutral,b,1,0.8425779
laughter,red,r,positive,r,1,0.65403
laughter,green,g,positive,g,1,0.8544073
paper,blue,b,neutral,b,1,0.6300053
guilt,red,r,negative,r,1,1.0856594
trauma,red,r,negative,r,1,0.4611977
carpet,red,r,neutral,r,1,0.3796435
stress,red,r,negative,r,1,0.38296
joy,blue,b,positive,b,1,0.6827957
computer,blue,b,neutral,b,1,1.7694206
lamp,red,r,neutral,r,1,0.6325014
chair,red,r,neutral,r,1,0.3956069
hatred,red,r,negative,r,1,0.3487513
clock,green,g,neutral,g,1,0.6440978
happiness,red,r,positive,r,1,0.5720785
delight,blue,b,positive,b,1,0.5582771
love,green,g,positive,g,1,0.5804131
door,red,r,neutral,r,1,0.5766357
carpet,green,g,neutral,g,1,0.4572402
love,red,r,positive,r,1,0.6622802
hope,blue,b,positive,b,1,0.6134973
sadness,green,g,negative,g,1,1.0660787
grief,blue,b,negative,b,1,0.7294716
table,red,r,neutral,r,1,0.5128546
pain,blue,b,negative,b,1,1.0255376
joy,green,g,positive,g,1,0.5344272
anger,red,r,negative,r,1,0.382603
pencil,red,r,neutral,r,1,0.6224946
pencil,green,g,neutral,g,1,0.3681843
stress,green,g,negative,g,1,0.5435284
hatred,green,g,negative,g,1,0.4642485
keyboard,green,g,neutral,g,1,0.4132076
lonliness,green,g,negative,g,1,0.4487815
pen,red,r,neutral,r,1,0.723799
