word,colour,corr_resp,valence,key_resp.keys,key_resp.corr,key_resp.rt
guilt,blue,b,negative,b,1,0.4868948
pen,green,g,neutral,g,1,2.875608
keyboard,blue,b,neutral,b,1,0.7622618
fear,red,r,negative,r,1,0.5232223
amusement,red,r,positive,r,1,0.4086816
disgust,red,r,negative,r,1,1.9751621
keyboard,red,r,neutral,r,1,0.3821284
book,red,r,neutral,r,1,0.4176041
clock,red,r,neutral,r,1,0.388961
delight,green,g,positive,g,1,0.9271299
euphoria,green,g,positive,g,1,0.4120907
euphoria,blue,b,positive,b,1,0.574739
happiness,blue,b,positive,b,1,0.4896792
peace,red,r,positive,r,1,0.5492582
pain,red,r,negative,r,1,0.4314865
enthusiasm ,red,r,positive,r,1,0.4284526
sadness,blue,b,negative,g,0,0.4575943
bliss,blue,b,positive,b,1,0.6724184
window,red,r,neutral,r,1,0.9492034
betrayal,blue,b,negative,b,1,0.5898095
computer,green,g,neutral,g,1,0.5937209
pain,green,g,negative,g,1,0.4866802
regret,green,g,negative,g,1,0.4546258
window,green,g,neutral,g,1,0.469811
amusement,green,g,positive,g,1,0.3445856
suffering,blue,b,negative,b,1,0.6180556
betrayal,red,r,negative,r,1,0.49664
delight,red,r,positive,r,1,0.5364753
fear,green,g,negative,g,1,2.8773462
amusement,blue,b,positive,b,1,0.5845965
lamp,green,g,neutral,g,1,0.8749224
excitement,blue,b,positive,r,0,0.7974797
book,blue,b,neutral,b,1,1.0214933
pleasure,blue,b,positive,b,1,0.4756938
betrayal,green,g,negative,g,1,1.3486635
depression,green,g,negative,g,1,1.7554699
adore,red,r,positive,r,1,0.6627133
love,blue,b,positive,b,1,0.9294861
anxiety,blue,b,negative,b,1,0.6285677
bliss,green,g,positive,g,1,3.2111622
fear,blue,b,negative,b,1,0.8529833
depression,red,r,negative,r,1,0.414535
disgust,green,g,negative,g,1,0.4848671
anxiety,green,g,negative,g,1,0.4482467
regret,red,r,negative,r,1,0.4915493
regret,blue,b,negative,b,1,1.6562105
excitement,red,r,positive,r,1,1.6516824
grief,red,r,negative,r,1,1.3617437
chair,blue,b,neutral,b,1,0.9931287
enthusiasm ,green,g,positive,r,0,1.3145746
excitement,green,g,positive,r,0,0.3564469
paper,green,g,neutral,g,1,0.6163767
anger,blue,b,negative,b,1,1.7958044
peace,blue,b,positive,b,1,0.7332315
suffering,red,r,negative,r,1,0.6890856
happiness,green,g,positive,g,1,0.62477
trauma,green,g,negative,g,1,0.5337543
suffering,green,g,negative,g,1,0.4145873
clock,blue,b,neutral,b,1,0.7851453
paper,red,r,neutral,r,1,0.5822579
guilt,green,g,negative,g,1,0.7268553
book,green,g,neutral,g,1,0.5322256
pen,blue,b,neutral,b,1,0.4310771
window,blue,b,neutral,b,1,0.3783995
lamp,blue,b,neutral,b,1,0.3190806
bliss,red,r,positive,r,1,0.6527554
hope,green,g,positive,g,1,0.6314994
hatred,blue,b,negative,b,1,0.4242803
pleasure,green,g,positive,g,1,0.4751412
monitor,blue,b,neutral,g,0,0.4621949
grief,green,g,negative,g,1,0.6006399
monitor,red,r,neutral,r,1,0.5159663
pleasure,red,r,positive,r,1,0.544566
lonliness,blue,b,negative,b,1,0.8170614
lonliness,red,r,negative,g,0,0.8331201
joy,red,r,positive,r,1,0.604632
trauma,blue,b,negative,b,1,2.6187724
chair,green,g,neutral,g,1,0.7588093
